ma_sach,ten_sach,text_for_embedding
1,Hahaaaa,"Tên sách: Hahaaaa. Tác giả: PThao. Năm XB: 2025. NXB: PhTee. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: suy ngẫm. Mô tả: ạiidijdooowk. Mục đích: giải trí, suy ngẫm, cảm thụ văn học. Đối tượng: mọi lứa tuổi. Đặc điểm: Tác phẩm văn học độc đáo, mang tính suy ngẫm. Từ khóa: văn học, suy ngẫm."
32,Doraemon,"Tên sách: Doraemon. Tác giả: Fujiko Fujio. Năm XB: 1989. NXB: NXB Kim Đồng. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, giáo dục. Mô tả: Doraemon là một series truyện tranh nổi tiếng kể về chú mèo máy đến từ thế kỷ 22 và cậu bé Nobita, giúp Nobita giải quyết những vấn đề trong cuộc sống bằng các bảo bối kỳ diệu. Truyện Doraemon mang đến những câu chuyện vui nhộn, gần gũi và giàu tính giáo dục, được yêu thích bởi trẻ em và người lớn.. Mục đích: giải trí, giáo dục, vui vẻ, đọc sách thiếu nhi. Đối tượng: trẻ em, mọi lứa tuổi. Đặc điểm: Chú mèo máy giúp Nobita qua các bảo bối kỳ diệu. Từ khóa: manga, trẻ em, robot mèo, hài hước."
33,Shin - Cậu Bé Bút Chì Tập 16,"Tên sách: Shin - Cậu Bé Bút Chì Tập 16. Tác giả: Usui Yoshito, Rodolphe Gicquel. Năm XB: 1989. NXB: NXB Kim Đồng. Thể loại: Truyện Tranh (Sách Thiếu Nhi). Cảm xúc: vui vẻ, hài hước. Mô tả: Mô tả tổng quan về bộ truyện, tập trung vào nhân vật chính Shin-chan, bối cảnh gia đình, phong cách hài hước và ý nghĩa của tác phẩm.. Mục đích: giải trí, hài hước, vui vẻ. Đối tượng: trẻ em, người lớn (có thể có nội dung không phù hợp trẻ nhỏ). Đặc điểm: Hài hước về cậu bé Shin-chan và gia đình. Từ khóa: manga, trẻ em, hài hước, Shin-chan, Nhật Bản."
34,Java Nâng Cao 1,"Tên sách: Java Nâng Cao 1. Tác giả: Đoàn Văn Ban. Năm XB: 2000. NXB: NXB Trẻ. Thể loại: Sách Lập Trình (Sách Giáo Khoa). Cảm xúc: học tập. Mô tả: Như tên của nó, mang thiên hướng đưa người đọc xoay quanh các vấn đề về đối tượng trong Java, từ cơ bản đến nâng cao và chuyên sâu. Bao gồm những ví dụ và lý thuyết thường hay áp dụng vào dự án thực tế cũng như tham gia phỏng vấn sau này. Đây là giáo trình cực kỳ cần thiết và đáng để tham khảo.. Mục đích: học tập, giáo dục, tài liệu tham khảo, nâng cao kỹ năng lập trình. Đối tượng: sinh viên, người đi làm, lập trình viên. Đặc điểm: Hướng dẫn lập trình Java từ cơ bản đến nâng cao. Từ khóa: lập trình, Java, giáo trình."
37,Đồi Gió Hú,"Tên sách: Đồi Gió Hú. Tác giả: Emily Brontë. Năm XB: 1847. NXB: NXB Trẻ. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, lãng mạn. Mô tả: ""Đồi gió hú"" của Emily Brontë là một tiểu thuyết kinh điển Anh kể về mối tình dữ dội và bi kịch giữa Heathcliff và Catherine Earnshaw. Câu chuyện diễn ra tại vùng Yorkshire, với bối cảnh là những tòa nhà cổ kính và thiên nhiên hoang sơ. Tình yêu của họ đầy đam mê nhưng cũng bị chi phối bởi hận thù, trả thù và những định kiến xã hội. Cuốn sách khám phá sâu sắc về những góc khuất trong tâm hồn con người, thông qua nhân vật Heathcliff, một người đàn ông đầy sức mạnh nhưng cũng rất dễ bị tổn thương.. Mục đích: giải trí, suy ngẫm, tìm hiểu văn học kinh điển, cảm nhận tình yêu bi kịch, buồn, lãng mạn. Đối tượng: người lớn. Đặc điểm: Mối tình bi kịch giữa Heathcliff và Catherine Earnshaw. Từ khóa: tiểu thuyết, lãng mạn, kinh điển, bi kịch."
38,Những Người Khốn Khổ,"Tên sách: Những Người Khốn Khổ. Tác giả: Victor Hugo. Năm XB: 1862. NXB: NXB Kim Đồng. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, cảm động. Mô tả: ""Những Người Khốn Khổ"" của Victor Hugo là một tiểu thuyết rộng lớn, khắc họa cuộc sống của những người nghèo khổ và bị xã hội đối xử bất công ở Pháp trong thế kỷ 19. Câu chuyện xoay quanh nhân vật chính Jean Valjean, một cựu tù khổ sai, và những mảnh đời khác nhau, thể hiện sự tha thứ, hy vọng, và tình yêu thương trong một xã hội đầy bất công.. Mục đích: suy ngẫm, tìm hiểu lịch sử, cảm nhận giá trị nhân văn, cảm động, buồn. Đối tượng: mọi lứa tuổi. Đặc điểm: Hành trình tha thứ của Jean Valjean trong xã hội bất công. Từ khóa: tiểu thuyết, lịch sử, nhân đạo."
39,Thơ Xuân Diệu,"Tên sách: Thơ Xuân Diệu. Tác giả: Xuân Diệu. Năm XB: 1938. NXB: NXB Trẻ. Thể loại: Văn Học (Sách Việt Nam). Cảm xúc: lãng mạn, tình yêu. Mô tả: Sách thơ của Xuân Diệu được biết đến với sự sôi nổi, cuồng nhiệt và đắm say trong tình yêu, cùng với những bài thơ tình lãng mạn, thể hiện niềm khát khao giao cảm tận độ với cuộc đời. Tập thơ nổi tiếng nhất của ông là ""Thơ thơ"" (1938), được đánh giá là thể hiện rõ phong cách thơ của Xuân Diệu.. Mục đích: giải trí, suy ngẫm, cảm thụ văn học, lãng mạn, tình yêu. Đối tượng: mọi lứa tuổi. Đặc điểm: Thơ tình lãng mạn, đắm say của Xuân Diệu. Từ khóa: thơ ca, lãng mạn, tình yêu."
40,Sông Đông Êm Đềm,"Tên sách: Sông Đông Êm Đềm. Tác giả: Mikhail Sholokhov. Năm XB: 1940. NXB: NXB Văn học. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, lịch sử. Mô tả: Tác phẩm kinh điển của văn học Liên Xô, 'Sông Đông Êm Đền' là một kiệt tác được Mikhail Sholokhov sáng tác trong suốt nhiều năm, phản ánh sâu sắc cuộc sống của người dân vùng sông Đông trong bối cảnh chiến tranh và cách mạng.. Mục đích: suy ngẫm, tìm hiểu lịch sử, văn học kinh điển, buồn. Đối tượng: người lớn. Đặc điểm: Cuộc sống vùng sông Đông trong chiến tranh và cách mạng. Từ khóa: tiểu thuyết, lịch sử, chiến tranh."
43,Bắt Trẻ Đồng Xanh,"Tên sách: Bắt Trẻ Đồng Xanh. Tác giả: J.D. Salinger. Năm XB: 1951. NXB: NXB Văn học. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: buồn, suy ngẫm. Mô tả: Được viết bởi J.D. Salinger và xuất bản lần đầu năm 1951, 'Bắt Trẻ Đồng Xanh' là một tiểu thuyết nổi tiếng khám phá thế giới nội tâm của Holden Caulfield, một thiếu niên bất mãn với xã hội trưởng thành. Cuốn sách kể lại hành trình của Holden sau khi bị đuổi học, dẫn dắt người đọc qua những suy ngẫm về sự mất mát, sự giả tạo và khát khao bảo vệ sự ngây thơ của tuổi trẻ. Với phong cách viết độc đáo, giọng điệu chân thực và đầy cảm xúc, tác phẩm này đã trở thành biểu tượng của văn học hiện đại, đặc biệt được yêu thích bởi giới trẻ. Dù gây tranh cãi tại thời điểm ra mắt, nó vẫn giữ được sức ảnh hưởng lớn và được dịch ra nhiều ngôn ngữ trên toàn cầu.. Mục đích: suy ngẫm, tìm hiểu tâm lý tuổi mới lớn, buồn, phát triển bản thân. Đối tượng: thanh thiếu niên, người lớn. Đặc điểm: Hành trình nội tâm của Holden Caulfield về tuổi trẻ và xã hội. Từ khóa: tiểu thuyết, tuổi trẻ, tâm lý."
47,Chiến Tranh Và Hòa Bình,"Tên sách: Chiến Tranh Và Hòa Bình. Tác giả: Leo Tolstoy. Năm XB: 1865. NXB: NXB Trẻ. Thể loại: Tiểu Thuyết (Sách Nước Ngoài). Cảm xúc: lịch sử, suy ngẫm. Mô tả: Một trong những tiểu thuyết vĩ đại nhất của văn học Nga và thế giới, 'Chiến tranh và Hòa bình' của Leo Tolstoy là một bản anh hùng ca về cuộc sống của nhiều gia đình quý tộc trong thời kỳ chiến tranh Napoléon. Với độ dài đồ sộ và hàng trăm nhân vật, tác phẩm không chỉ tái hiện những trận chiến khốc liệt mà còn khám phá sâu sắc tâm lý con người, tình yêu, lòng trung thành và những biến chuyển lịch sử. Được xuất bản lần đầu vào năm 1865, cuốn sách mang đến một cái nhìn toàn diện về nước Nga thế kỷ 19, từ những buổi dạ tiệc sang trọng đến những chiến trường đẫm máu. Đây là một kiệt tác đòi hỏi sự kiên nhẫn nhưng mang lại giá trị văn học và triết học vô cùng sâu sắc.. Mục đích: suy ngẫm, tìm hiểu lịch sử, văn học kinh điển, tăng cường tư duy. Đối tượng: người lớn. Đặc điểm: Bản anh hùng ca về chiến tranh Napoléon và tâm lý con người. Từ khóa: tiểu thuyết, lịch sử, chiến tranh."
