id,name,type,description,keywords
2,Sách Việt Nam,parent,"Bộ sưu tập các tác phẩm văn học, lịch sử, giáo dục của tác giả Việt Nam, phản ánh văn hóa, lịch sử và con người Việt. Bao gồm tiểu thuyết, truyện ngắn, thơ ca, sách thiếu nhi.","văn học Việt Nam, lịch sử, tiểu thuyết, truyện ngắn, thơ ca"
4,Sách Nước Ngoài,parent,"Bộ sưu tập sách của tác giả nước ngoài, bao gồm tiểu thuyết, truyện ngắn, tự truyện, sách kỹ năng sống, sách kinh dị, v.v., được dịch sang tiếng Việt hoặc ngôn ngữ gốc.","văn học nước ngoài, tiểu thuyết, truyện ngắn, tự truyện, kỹ năng sống"
5,Sách Thiếu Nhi,parent,"Sách dành cho trẻ em, bao gồm truyện tranh, manga, sách tranh ảnh, truyện cổ tích, truyện ngụ ngôn, sách tô màu. Ví dụ: Doraemon, Conan.","truyện tranh, manga, cổ tích, trẻ em, giáo dục"
9,Sách Giáo Khoa,parent,"Sách phục vụ học tập, bao gồm giáo trình toán học, lập trình, tâm lý học, được biên soạn cho học sinh, sinh viên.","giáo khoa, toán học, lập trình, tâm lý, giáo dục"
2a,Tiểu Thuyết,child,"Thể loại văn học dài hơi, kể chuyện với cốt truyện phong phú, tập trung vào nhân vật và bối cảnh. Bao gồm các nhánh như lãng mạn, trinh thám, lịch sử, viễn tưởng. Ví dụ: Số Đỏ, Đồi Gió Hú.","tiểu thuyết, truyện dài, lãng mạn, trinh thám, lịch sử"
2c,Văn Học,child,"Thể loại văn học, bao gồm tiểu thuyết, truyện ngắn, thơ ca, tác phẩm kinh điển, phản ánh cuộc sống và con người. Ví dụ: Truyện Kiều, Thơ Xuân Diệu.","văn học, thơ ca, truyện ngắn, tiểu thuyết, kinh điển"
2d,Phóng Sự,child,"Thể loại văn học báo chí, tái hiện sự kiện xã hội qua lăng kính phân tích, mang tính hiện thực, phê phán. Ví dụ: Tàn Đèn Dầu Lạc, Cơm Thầy Cơm Cô.","phóng sự, hiện thực, phê phán, báo chí, xã hội"
2e,Truyền Cảm Hứng,child,"Sách truyền động lực, giúp người đọc tìm ý nghĩa cuộc sống, phát triển bản thân. Ví dụ: Tuổi Trẻ Đáng Giá Bao Nhiêu.","truyền cảm hứng, self-help, phát triển bản thân, động lực"
2f,Lịch Sử,child,"Sách về lịch sử Việt Nam, thế giới, chiến tranh, nhân vật lịch sử. Ví dụ: Bình Ngô Đại Cáo, Hịch Tướng Sĩ.","lịch sử, chiến tranh, nhân vật lịch sử, Việt Nam, thế giới"
2g,Truyện Ngắn,child,"Thể loại văn học ngắn gọn, tập trung vào một sự kiện hoặc khía cạnh cuộc sống. Ví dụ: Hai Đứa Trẻ, Chữ Người Tử Tù.","truyện ngắn, hiện thực, lãng mạn, kinh điển"
2h,Tình Cảm,child,"Sách về tình yêu, tình cảm gia đình, bạn bè, mang tính cảm xúc cao. Ví dụ: Tố Tâm, Trước Khi Chúng Ta Nói Lời Chia Tay.","tình cảm, tình yêu, lãng mạn, gia đình"
4b,Tự Truyện,child,"Sách kể về cuộc đời hoặc trải nghiệm thực tế của tác giả. Ví dụ: Nhật Ký Anne Frank, Totto-chan.","tự truyện, hồi ký, trải nghiệm, cảm xúc"
4c,Truyện Ngắn,child,"Thể loại văn học ngắn gọn, tập trung vào một sự kiện hoặc khía cạnh cuộc sống. Ví dụ: Bắt Trẻ Đồng Xanh (sửa thành Tiểu Thuyết nếu cần).","truyện ngắn, hiện thực, lãng mạn, kinh điển"
4d,Kinh Dị,child,"Sách kinh dị, mang tính hồi hộp, bí ẩn. Ví dụ: And Then There Were None.","kinh dị, trinh thám, hồi hộp, bí ẩn, "ma quỷ", "rùng rợn", "ám ảnh", "giật gân", "siêu nhiên"
4e,Tiểu Thuyết,child,"Thể loại văn học dài hơi, kể chuyện phong phú. Bao gồm lãng mạn, trinh thám, lịch sử, viễn tưởng. Ví dụ: Đồi Gió Hú, Tội Ác Và Hình Phạt.","tiểu thuyết, truyện dài, lãng mạn, trinh thám, lịch sử"
4f,Lãng Mạn,child,"Sách về tình yêu, cảm xúc lãng mạn. Ví dụ: Pride and Prejudice.","lãng mạn, tình yêu, cảm xúc, kinh điển"
4g,Kỹ Năng Sống,child,"Sách phát triển bản thân, kỹ năng mềm, giao tiếp, quản lý thời gian. Ví dụ: Đến Nơi Rồi.","kỹ năng sống, self-help, phát triển bản thân, giao tiếp"
5a,Truyện Tranh,child,"Truyện tranh, manga Nhật Bản, sách tranh ảnh, phiêu lưu, hài hước. Ví dụ: Doraemon, Conan.","truyện tranh, manga, trẻ em, phiêu lưu, hài hước"
5b,Cổ Tích,child,"Sách kể chuyện cổ tích, ngụ ngôn, mang tính giáo dục. Ví dụ: Cổ Tích Việt Nam.","cổ tích, ngụ ngôn, trẻ em, giáo dục"
9a,Toán Học,child,"Sách về toán học, giáo trình cho học sinh, sinh viên. Ví dụ: Giáo Trình Toán Cao Cấp.","toán học, giáo trình, học tập, giải tích"
9b,Sách Lập Trình,child,"Sách về lập trình, công nghệ thông tin. Ví dụ: Java Nâng Cao 1.","lập trình, công nghệ, học tập, coding"
9c,Tâm Lý,child,"Sách về tâm lý học, phân tích cảm xúc, chữa lành. Ví dụ: sách giúp thư giãn, giảm stress.","tâm lý, chữa lành, cảm xúc, stress"
